zhi	tʂ ɻ̍
jing	tɕ iŋ
qing	tɕʰ iŋ
xing	ɕ iŋ
bu	p u
pu	pʰ u
mu	m u
fu	f u
du	t u
tu	tʰ u
nu	n u
lu	l u
gu	k u
ku	kʰ u
hu	x u
ju	tɕ y
qu	tɕʰ y
xu	ɕ y
zhu	tʂ u
chu	tʂʰ u
shu	ʂ u
ru	ɻ u
zu	ts u
cu	tsʰ u
su	s u
bua	p ua
pua	pʰ ua
mua	m ua
fua	f ua
dua	t ua
tua	tʰ ua
nua	n ua
lua	l ua
gua	k ua
kua	kʰ ua
hua	x ua
jua	tɕ ua
qua	tɕʰ ua
xua	ɕ ua
zhua	tʂ ua
chua	tʂʰ ua
shua	ʂ ua
rua	ɻ ua
zua	ts ua
cua	tsʰ ua
sua	s ua
buo	p uo
puo	pʰ uo
muo	m uo
fuo	f uo
duo	t uo
tuo	tʰ uo
nuo	n uo
luo	l uo
guo	k uo
kuo	kʰ uo
huo	x uo
juo	tɕ uo
quo	tɕʰ uo
xuo	ɕ uo
zhuo	tʂ uo
chuo	tʂʰ uo
shuo	ʂ uo
ruo	ɻ uo
zuo	ts uo
cuo	tsʰ uo
suo	s uo
buai	p u ai
puai	pʰ u ai
muai	m u ai
fuai	f u ai
duai	t u ai
tuai	tʰ u ai
nuai	n u ai
luai	l u ai
guai	k u ai
kuai	kʰ u ai
huai	x u ai
juai	tɕ u ai
quai	tɕʰ u ai
xuai	ɕ u ai
zhuai	tʂ u ai
chuai	tʂʰ u ai
shuai	ʂ u ai
ruai	ɻ u ai
zuai	ts u ai
cuai	tsʰ u ai
suai	s u ai
bui	p u ei
pui	pʰ u ei
mui	m u ei
fui	f u ei
dui	t u ei
tui	tʰ u ei
nui	n u ei
lui	l u ei
gui	k u ei
kui	kʰ u ei
hui	x u ei
jui	tɕ u ei
qui	tɕʰ u ei
xui	ɕ u ei
zhui	tʂ u ei
chui	tʂʰ u ei
shui	ʂ u ei
rui	ɻ u ei
zui	ts u ei
cui	tsʰ u ei
sui	s u ei
buan	p u an
puan	pʰ u an
muan	m u an
fuan	f u an
duan	t u an
tuan	tʰ u an
nuan	n u an
luan	l u an
guan	k u an
kuan	kʰ u an
huan	x u an
juan	tɕ y ɛn
quan	tɕʰ y ɛn
xuan	ɕ y ɛn
zhuan	tʂ u an
chuan	tʂʰ u an
shuan	ʂ u an
ruan	ɻ u an
zuan	ts u an
cuan	tsʰ u an
suan	s u an
bun	p u ən
pun	pʰ u ən
mun	m u ən
fun	f u ən
dun	t u ən
tun	tʰ u ən
nun	n u ən
lun	l u ən
gun	k u ən
kun	kʰ u ən
hun	x u ən
jun	tɕ yn
qun	tɕʰ yn
xun	ɕ yn
zhun	tʂ u ən
chun	tʂʰ u ən
shun	ʂ u ən
run	ɻ u ən
zun	ts u ən
cun	tsʰ u ən
sun	s u ən
buang	p u aŋ
puang	pʰ u aŋ
muang	m u aŋ
fuang	f u aŋ
duang	t u aŋ
tuang	tʰ u aŋ
nuang	n u aŋ
luang	l u aŋ
guang	k u aŋ
kuang	kʰ u aŋ
huang	x u aŋ
juang	tɕ u aŋ
quang	tɕʰ u aŋ
xuang	ɕ u aŋ
zhuang	tʂ u aŋ
chuang	tʂʰ u aŋ
shuang	ʂ u aŋ
ruang	ɻ u aŋ
zuang	ts u aŋ
cuang	tsʰ u aŋ
suang	s u aŋ
bong	p ʊŋ
pong	pʰ ʊŋ
mong	m ʊŋ
fong	f ʊŋ
dong	t ʊŋ
tong	tʰ ʊŋ
nong	n ʊŋ
long	l ʊŋ
gong	k ʊŋ
kong	kʰ ʊŋ
hong	x ʊŋ
zhong	tʂ ʊŋ
chong	tʂʰ ʊŋ
shong	ʂ ʊŋ
rong	ɻ ʊŋ
zong	ts ʊŋ
cong	tsʰ ʊŋ
song	s ʊŋ
bv	p y
byu	p y
pv	pʰ y
pyu	pʰ y
mv	m y
myu	m y
fv	f y
fyu	f y
dv	t y
dyu	t y
tv	tʰ y
tyu	tʰ y
nv	n y
nyu	n y
lv	l y
lyu	l y
gv	k y
gyu	k y
kv	kʰ y
kyu	kʰ y
hv	x y
hyu	x y
jv	tɕ y
jyu	tɕ y
qv	tɕʰ y
qyu	tɕʰ y
xv	ɕ y
xyu	ɕ y
zhv	tʂ y
zhyu	tʂ y
chv	tʂʰ y
chyu	tʂʰ y
shv	ʂ y
shyu	ʂ y
rv	ɻ y
ryu	ɻ y
zv	ts y
zyu	ts y
cv	tsʰ y
cyu	tsʰ y
sv	s y
syu	s y
bve	p ye
bue	p ye
pve	pʰ ye
pue	pʰ ye
mve	m ye
mue	m ye
fve	f ye
fue	f ye
dve	t ye
due	t ye
tve	tʰ ye
tue	tʰ ye
nve	n ye
nue	n ye
lve	l ye
lue	l ye
gve	k ye
gue	k ye
kve	kʰ ye
kue	kʰ ye
hve	x ye
hue	x ye
jve	tɕ ye
jue	tɕ ye
qve	tɕʰ ye
que	tɕʰ ye
xve	ɕ ye
xue	ɕ ye
zhve	tʂ ye
zhue	tʂ ye
chve	tʂʰ ye
chue	tʂʰ ye
shve	ʂ ye
shue	ʂ ye
rve	ɻ ye
rue	ɻ ye
zve	ts ye
zue	ts ye
cve	tsʰ ye
cue	tsʰ ye
sve	s ye
sue	s ye
biong	p i ʊŋ
piong	pʰ i ʊŋ
miong	m i ʊŋ
fiong	f i ʊŋ
diong	t i ʊŋ
tiong	tʰ i ʊŋ
niong	n i ʊŋ
liong	l i ʊŋ
giong	k i ʊŋ
kiong	kʰ i ʊŋ
hiong	x i ʊŋ
jiong	tɕ i ʊŋ
qiong	tɕʰ i ʊŋ
xiong	ɕ i ʊŋ
zhiong	tʂ i ʊŋ
chiong	tʂʰ i ʊŋ
shiong	ʂ i ʊŋ
riong	ɻ i ʊŋ
ziong	ts i ʊŋ
ciong	tsʰ i ʊŋ
siong	s i ʊŋ
a	a
o	o
e	ɤ
ai	ai
ei	ei
ao	au
ou	 ou
an	an
en	ən
ang	aŋ
ong	ʊŋ
eng	əŋ
er	aɚ
i	i
u	u
v	y
yi	i
wu	u
yu	y
ya	ia
ia	ia
yo	i au
io	i au
ye	ie
ie	ie
yai	i ai
iai	i ai
yao	i au
iao	i au
you	i ou
iou	i ou
yan	i ɛn
ian	i ɛn
yin	in
in	in
yang	i aŋ
iang	i aŋ
ying	iŋ
ing	iŋ
wa	ua
ua	ua
wo	uo
uo	uo
wai	u ai
uai	u ai
wei	u ei
wui	u ei
ui	u ei
wan	u an
uan	u an
wen	u ən
uen	u ən
wang	u aŋ
uang	u aŋ
weng	u əŋ
wong	ʊŋ
yue	ye
ue	ye
yve	ye
ve	ye
yuan	y ɛn
van	y ɛn
yun	yn
vn	yn
yong	i ʊŋ
iong	i ʊŋ
