zhi	tʂ ɻ̍
ping	pʰ i ŋ
ming	m i ŋ
fing	f i ŋ
ding	t i ŋ
ting	tʰ i ŋ
ning	n i ŋ
ling	l i ŋ
ging	k i ŋ
king	kʰ i ŋ
hing	x i ŋ
jing	tɕ i ŋ
qing	tɕʰ i ŋ
xing	ɕ i ŋ
bu	p u
pu	pʰ u
mu	m u
fu	f u
du	t u
tu	tʰ u
nu	n u
lu	l u
gu	k u
ku	kʰ u
hu	x u
ju	tɕ y
qu	tɕʰ y
xu	ɕ y
zhu	tʂ u
chu	tʂʰ u
shu	ʂ u
ru	ɻ u
zu	ts u
cu	tsʰ u
su	s u
bua	p ua
pua	pʰ ua
mua	m ua
fua	f ua
dua	t ua
tua	tʰ ua
nua	n ua
lua	l ua
gua	k ua
kua	kʰ ua
hua	x ua
jua	tɕ ua
qua	tɕʰ ua
xua	ɕ ua
zhua	tʂ ua
chua	tʂʰ ua
shua	ʂ ua
rua	ɻ ua
zua	ts ua
cua	tsʰ ua
sua	s ua
buo	p uo
puo	pʰ uo
muo	m uo
fuo	f uo
duo	t uo
tuo	tʰ uo
nuo	n uo
luo	l uo
guo	k uo
kuo	kʰ uo
huo	x uo
juo	tɕ uo
quo	tɕʰ uo
xuo	ɕ uo
zhuo	tʂ uo
chuo	tʂʰ uo
shuo	ʂ uo
ruo	ɻ uo
zuo	ts uo
cuo	tsʰ uo
suo	s uo
buai	p ua i
puai	pʰ ua i
muai	m ua i
fuai	f ua i
duai	t ua i
tuai	tʰ ua i
nuai	n ua i
luai	l ua i
guai	k ua i
kuai	kʰ ua i
huai	x ua i
juai	tɕ ua i
quai	tɕʰ ua i
xuai	ɕ ua i
zhuai	tʂ ua i
chuai	tʂʰ ua i
shuai	ʂ ua i
ruai	ɻ ua i
zuai	ts ua i
cuai	tsʰ ua i
suai	s ua i
bui	p ue i
pui	pʰ ue i
mui	m ue i
fui	f ue i
dui	t ue i
tui	tʰ ue i
nui	n ue i
lui	l ue i
gui	k ue i
kui	kʰ ue i
hui	x ue i
jui	tɕ ue i
qui	tɕʰ ue i
xui	ɕ ue i
zhui	tʂ ue i
chui	tʂʰ ue i
shui	ʂ ue i
rui	ɻ ue i
zui	ts ue i
cui	tsʰ ue i
sui	s ue i
buan	p ua n
puan	pʰ ua n
muan	m ua n
fuan	f ua n
duan	t ua n
tuan	tʰ ua n
nuan	n ua n
luan	l ua n
guan	k ua n
kuan	kʰ ua n
huan	x ua n
juan	tɕ yɛ n
quan	tɕʰ yɛ n
xuan	ɕ yɛ n
zhuan	tʂ ua n
chuan	tʂʰ ua n
shuan	ʂ ua n
ruan	ɻ ua n
zuan	ts ua n
cuan	tsʰ ua n
suan	s ua n
bun	p uə n
pun	pʰ uə n
mun	m uə n
fun	f uə n
dun	t uə n
tun	tʰ uə n
nun	n uə n
lun	l uə n
gun	k uə n
kun	kʰ uə n
hun	x uə n
jun	tɕ y n
qun	tɕʰ y n
xun	ɕ y n
zhun	tʂ uə n
chun	tʂʰ uə n
shun	ʂ uə n
run	ɻ uə n
zun	ts uə n
cun	tsʰ uə n
sun	s uə n
buang	p ua ŋ
puang	pʰ ua ŋ
muang	m ua ŋ
fuang	f ua ŋ
duang	t ua ŋ
tuang	tʰ ua ŋ
nuang	n ua ŋ
luang	l ua ŋ
guang	k ua ŋ
kuang	kʰ ua ŋ
huang	x ua ŋ
juang	tɕ ua ŋ
quang	tɕʰ ua ŋ
xuang	ɕ ua ŋ
zhuang	tʂ ua ŋ
chuang	tʂʰ ua ŋ
shuang	ʂ ua ŋ
ruang	ɻ ua ŋ
zuang	ts ua ŋ
cuang	tsʰ ua ŋ
suang	s ua ŋ
bong	p ʊ ŋ
pong	pʰ ʊ ŋ
mong	m ʊ ŋ
fong	f ʊ ŋ
dong	t ʊ ŋ
tong	tʰ ʊ ŋ
nong	n ʊ ŋ
long	l ʊ ŋ
gong	k ʊ ŋ
kong	kʰ ʊ ŋ
hong	x ʊ ŋ
zhong	tʂ ʊ ŋ
chong	tʂʰ ʊ ŋ
shong	ʂ ʊ ŋ
rong	ɻ ʊ ŋ
zong	ts ʊ ŋ
cong	tsʰ ʊ ŋ
song	s ʊ ŋ
bv	p y
byu	p y
pv	pʰ y
pyu	pʰ y
mv	m y
myu	m y
fv	f y
fyu	f y
dv	t y
dyu	t y
tv	tʰ y
tyu	tʰ y
nv	n y
nyu	n y
lv	l y
lyu	l y
gv	k y
gyu	k y
kv	kʰ y
kyu	kʰ y
hv	x y
hyu	x y
jv	tɕ y
jyu	tɕ y
qv	tɕʰ y
qyu	tɕʰ y
xv	ɕ y
xyu	ɕ y
zhv	tʂ y
zhyu	tʂ y
chv	tʂʰ y
chyu	tʂʰ y
shv	ʂ y
shyu	ʂ y
rv	ɻ y
ryu	ɻ y
zv	ts y
zyu	ts y
cv	tsʰ y
cyu	tsʰ y
sv	s y
syu	s y
bve	p ye
bue	p ye
pve	pʰ ye
pue	pʰ ye
mve	m ye
mue	m ye
fve	f ye
fue	f ye
dve	t ye
due	t ye
tve	tʰ ye
tue	tʰ ye
nve	n ye
nue	n ye
lve	l ye
lue	l ye
gve	k ye
gue	k ye
kve	kʰ ye
kue	kʰ ye
hve	x ye
hue	x ye
jve	tɕ ye
jue	tɕ ye
qve	tɕʰ ye
que	tɕʰ ye
xve	ɕ ye
xue	ɕ ye
zhve	tʂ ye
zhue	tʂ ye
chve	tʂʰ ye
chue	tʂʰ ye
shve	ʂ ye
shue	ʂ ye
rve	ɻ ye
rue	ɻ ye
zve	ts ye
zue	ts ye
cve	tsʰ ye
cue	tsʰ ye
sve	s ye
sue	s ye
biong	p iʊ ŋ
piong	pʰ iʊ ŋ
miong	m iʊ ŋ
fiong	f iʊ ŋ
diong	t iʊ ŋ
tiong	tʰ iʊ ŋ
niong	n iʊ ŋ
liong	l iʊ ŋ
giong	k iʊ ŋ
kiong	kʰ iʊ ŋ
hiong	x iʊ ŋ
jiong	tɕ iʊ ŋ
qiong	tɕʰ iʊ ŋ
xiong	ɕ iʊ ŋ
zhiong	tʂ iʊ ŋ
chiong	tʂʰ iʊ ŋ
shiong	ʂ iʊ ŋ
